IDRemove,ASV
LactobacillusASV3382S,ASV3382
LactobacillusASV3059S,ASV3059
LactobacillusASV848S,ASV848
LactobacillusASV3045S,ASV3045
LactobacillusASV2347S,ASV2347
LactobacillusASV3211S,ASV3211
LactobacillusASV1060S,ASV1060
LactobacillusASV1636S,ASV1636
LactobacillusASV1646S,ASV1646
LactobacillusASV1336S,ASV1336
LactobacillusASV2811S,ASV2811
LactobacillusASV1001S,ASV1001
MannheimiaASV1610S,ASV1610
MannheimiaASV1141S,ASV1141
MycoplasmaASV3675S,ASV3675
MycoplasmaASV1029S,ASV1029
MycoplasmaASV1860S,ASV1860
MycoplasmaASV573S,ASV573
MycoplasmaASV888S,ASV888
MycoplasmaASV18S,ASV18
MycoplasmaASV1242S,ASV1242
MycoplasmaASV3722S,ASV3722
MycoplasmaASV278S,ASV278
MycoplasmaASV34S,ASV34
MycoplasmaASV3156S,ASV3156
PasteurellaASV2804S,ASV2804
PasteurellaASV793S,ASV793
