ASV,effect,term,estimate,std.error,statistic,p.value,p.adj,sig,ASVstring,col1,col2,col3,col4,genus,tax
ASV440,fixed,d1,-1.573238989,0.72875,-2.15881851,0.03086425,0.03086425,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Family XIII;[Eubacterium] nodatum group,Firmicutes,Clostridia,Clostridiales,Family XIII,Eubacterium nodatum group,d0 vs d1
ASV460,fixed,d1,-1.245754108,0.47465,-2.624574124,0.008675741,0.008675741,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae,d0 vs d1
ASV484,fixed,d1,-1.773064922,0.5869,-3.021068192,0.002518846,0.002518846,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] torques group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus torques group,d0 vs d1
ASV556,fixed,d1,-2.243674011,0.40269,-5.571715243,2.52E-08,2.52E-08,P-Value < 0.05,Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,d0 vs d1
ASV568,fixed,d1,2.063126919,0.73062,2.82380296,0.004745755,0.004745755,P-Value < 0.05,Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonellaceae,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonellaceae,d0 vs d1
ASV838,fixed,d1,4.425531211,0.5892,7.51108488,5.86E-14,5.86E-14,P-Value < 0.05,Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Histophilus,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Histophilus,d0 vs d1
ASV191,fixed,d10,1.309611501,0.56837,2.304153106,0.021214051,0.021214051,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 1,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 1,d0 vs d10
ASV195,fixed,d10,1.516574586,0.51387,2.951280647,0.003164592,0.003164592,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 9,d0 vs d10
ASV259,fixed,d10,2.189356618,0.96978,2.257580707,0.023971813,0.023971813,P-Value < 0.05,Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Myroides,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Myroides,d0 vs d10
ASV398,fixed,d10,2.030512099,0.52773,3.847634394,0.000119264,0.000119264,P-Value < 0.05,Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,d0 vs d10
ASV40,fixed,d10,1.272951224,0.50787,2.50645091,0.012194999,0.012194999,P-Value < 0.05,Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,d0 vs d10
ASV401,fixed,d10,2.093564615,0.75658,2.767142424,0.005655004,0.005655004,P-Value < 0.05,Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Fructobacillus,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Fructobacillus,d0 vs d10
ASV470,fixed,d10,-1.543728895,0.53005,-2.912421271,0.003586386,0.003586386,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae XPB1014 group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae XPB1014 group,d0 vs d10
ASV520,fixed,d10,-1.290329494,0.55525,-2.323871218,0.020132397,0.020132397,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae,d0 vs d10
ASV536,fixed,d10,-1.463349659,0.73662,-1.986573347,0.046969697,0.046969697,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Eubacterium coprostanoligenes group,d0 vs d10
ASV556,fixed,d10,-1.728226366,0.57818,-2.989080159,0.002798187,0.002798187,P-Value < 0.05,Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,d0 vs d10
ASV673,fixed,d10,-1.228612853,0.51168,-2.401135188,0.016344297,0.016344297,P-Value < 0.05,Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;uncultured,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,d0 vs d10
ASV681,fixed,d10,-1.215371516,0.53924,-2.253860093,0.024204971,0.024204971,P-Value < 0.05,Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,d0 vs d10
ASV841,fixed,d10,1.668296516,0.58589,2.847456888,0.004407006,0.004407006,P-Value < 0.05,Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurellaceae,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurellaceae,d0 vs d10
ASV843,fixed,d10,1.978330871,0.71261,2.776176129,0.00550024,0.00550024,P-Value < 0.05,Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Alkanindiges,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,d0 vs d10
ASV97,fixed,d10,-1.487466872,0.66099,-2.250362142,0.024425966,0.024425966,P-Value < 0.05,Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,d0 vs d10
