ID	calf	treatment	diagnostic	day	sickness 	antibiotic
CFT19_ds1_S33	C19	S_ds1	RespD	s1	Got	Yes
CFT19_ds5_S55	C19	S_ds5	RespD	s5	Got	Yes
CFT2_d0_S2	C2	H_d0	NoResp	h0	Never	No
CFT2_d14_S73	C2	H_d14	NoResp	h14	Never	No
CFT2_d7_S38	C2	H_d7	NoResp	h7	Never	No
CFT20_d0_S20	C20	H_d0	NoResp	h0	Never	No
CFT20_d14_S88	C20	H_d14	NoResp	h14	Never	No
CFT20_d7_S56	C20	H_d7	NoResp	h7	Never	No
CFT21_d0_S21	C21	H_d0	NoResp	h0	Got	Yes
CFT21_d7_S57	C21	H_d7	NoResp	h7	Got	Yes
CFT21_ds0_S69	C21	S_ds0	RespD	s0	Got	Yes
CFT21_ds1_S70	C21	S_ds1	RespD	s1	Got	Yes
CFT22_d0_S22	C22	H_d0	NoResp	h0	Never	No
CFT22_d14_S89	C22	H_d14	NoResp	h14	Never	No
CFT22_d7_S58	C22	H_d7	NoResp	h7	Never	No
CFT23_ds0_S23	C23	S_ds0	RespD	s0	Got	Yes
CFT23_ds1_S34	C23	S_ds1	RespD	s1	Got	Yes
CFT23_ds10_S71	C23	S_ds10	RespD	s10	Got	Yes
CFT23_ds5_S59	C23	S_ds5	RespD	s5	Got	Yes
CFT24_d0_S24	c24	H_d0	NoResp	h0	Never	Yes
CFT24_d14_S90	C24	H_d14	NoResp	h14	Never	Yes
CFT24_d7_S60	C24	H_d7	NoResp	h7	Never	Yes
CFT25_d0_S25	C25	H_d0	NoResp	h0	Never	No
CFT25_d14_S91	C25	H_d14	NoResp	h14	Never	No
CFT25_d7_S61	C25	H_d7	NoResp	h7	Never	No
CFT26_d0_S26	C26	H_d0	NoResp	h0	Never	Yes
CFT26_d14_S92	C26	H_d14	NoResp	h14	Never	Yes
CFT26_d7_S62	C26	H_d7	NoResp	h7	Never	Yes
CFT27_d0_S27	C27	H_d0	NoResp	h0	Never	Yes
CFT27_d14_S93	C27	H_d14	NoResp	h14	Never	Yes
CFT27_d7_S63	C27	H_d7	NoResp	h7	Never	Yes
CFT28_d0_S28	C28	H_d0	NoResp	h0	Got	Yes
CFT28_d7_S64	C28	H_d7	NoResp	h7	Got	Yes
CFT29_d0_S29	C29	H_d0	RespD	h0	Got	Yes
CFT29_d7_S65	C29	H_d7	RespD	h7	Got	Yes
CFT29_ds1_S72	C29	S_ds1	RespD	s1	Got	Yes
CFT3_d0_S3	C3	H_d0	NoResp	h0	Never	Yes
CFT3_d14_S74	C3	H_d14	NoResp	h14	Never	Yes
CFT3_d7_S39	C3	H_d7	NoResp	h7	Never	Yes
CFT30_d0_S30	C30	H_d0	NoResp	h0	Got	Yes
CFT30_ds0_S35	C30	S_ds0	RespD	s0	Got	Yes
CFT30_ds1_S36	C30	S_ds1	RespD	s1	Got	Yes
CFT30_ds5_S66	C30	S_ds5	RespD	s5	Got	Yes
CFT4_d0_S4	C4	H_d0	NoResp	h0	Never	No
CFT4_d14_S75	C4	H_d14	NoResp	h14	Never	No
CFT4_d7_S40	C4	H_d7	NoResp	h7	Never	No
CFT5_d0_S5	C5	H_d0	NoResp	h0	Never	Yes
CFT5_d14_S76	C5	H_d14	NoResp	h14	Never	Yes
CFT5_d7_S41	C5	H_d7	NoResp	h7	Never	Yes
CFT6_d0_S6	C6	H_d0	NoResp	h0	Never	No
CFT6_d14_S77	C6	H_d14	NoResp	h14	Never	No
CFT6_d7_S42	C6	H_d7	NoResp	h7	Never	No
CFT7_d0_S7	C7	H_d0	NoResp	h0	Never	Yes
CFT7_d14_S78	C7	H_d14	NoResp	h14	Never	Yes
CFT7_d7_S43	C7	H_d7	NoResp	h7	Never	Yes
CFT8_d0_S8	C8	H_d0	NoResp	h0	Never	No
CFT8_d14_S79	C8	H_d14	NoResp	h14	Never	No
CFT8_d7_S44	C8	H_d7	NoResp	h7	Never	No
CFT9_d0_S9	C9	H_d0	NoResp	h0	Got	Yes
CFT9_d7_S45	C9	H_d7	NoResp	h7	Got	Yes
CFT9_ds0_S94	C9	S_ds0	RespD	s0	Got	Yes
